Job_title,Company_name,Required_time_experience,Salary,Job_location,Skill
Tcs Walkin For SAP S/4 HANA role at Tcs Pune on 4th july 26,Tata Consultancy Services,5-10 Yrs,Not Provided,"Pune, Mumbai (All Areas)","SAP S/4 HANA, S4H, Hana Implementation, Sap Hana, S, Saps, SAP S Hana, TCAE"
Tcs Urgent Opening Python Developer-8 To 12 Yrs,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Django, Fast Api, Python, TCAE, API"
Fullstack Developer,Fristine Infotech,3-8 Yrs,5-15 Lacs PA,"Vapi, Mumbai Suburban, Pune","Node.Js, HTML, Javascript, CSS, Expresjs, Langchain, Spring Boot, Ci/Cd"
TCS// Job Opening//Playwright Automation//6-12 Yrs,Tata Consultancy Services,6-11 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Playwright Automation, java, Selenium Automation, Automation, TCAE, Selenium"
Angular Frontend + Java Backend,Capgemini,8-13 Yrs,25-30 Lacs PA,"Hybrid - Mumbai, Pune","Angular, Angularjs, Java, CSS, HTML, J2Ee, Backend, Cs"
Finastra Global PAYplus_Business Analyst_EXP:5+_Mumbai & Pune_Hybrid,Tata Consultancy Services,5-8 Yrs,Not Provided,"Hybrid - Pune, Mumbai (All Areas)","FGPP, Finastra Global PayPlus, Payment Domain, User Stories, Data Analytics, Payments, Global Payplus, Analytics"
AI Test Engineer,Tata Consultancy Services,6-10 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","AI Test Engineer, AI ML Testing, Python, C#, CI CD Pipelines, Azure AI Services, Playwright, .net"
Java Springboot & Micorservices,Tata Consultancy Services,6-11 Yrs,Not Provided,"Pune, Chennai, Mumbai (All Areas)","Springboot Java, Java Spring Boot, Microservices, Java, Boot, Spring, Spring Boot"
Python Developer,Cognizant,6-11 Yrs,Not Provided,"Kolkata, Hyderabad, Pune","Django, Rest API, Python, Python Development, Development, Rest, API"
Snowflake Architect,Hexaware Technologies,12-15 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Snowsql, Snowflake, Python, Snowpipe, Architecture"
Java Full Stack Developer,Tata Consultancy Services,4-8 Yrs,Not Provided,"Bhubaneswar, Pune, Mumbai (All Areas)","Java, Spring Boot, Microservices, Angular, Fullstack Development, Java Fullstack, Stack, Boot"
Reltio - AWS - Snowflake Engineer,Tata Consultancy Services,5-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","MDM, Snowflake, AWS, Reltio, Data Warehousing, ETL, SQL, Data"
Hiring OpenText VIM,Cognizant,5-10 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","OpenText VIM, Vim, Vendor Invoice Management, Invoicing, Management, Vendor, Hiring"
